FOC1,FOC2,FOC3
1220.290039,1250.089966,1035.420044
1236.51001,1255.040039,974.1099854
1228.449951,1245.48999,1026.349976
1234.130005,1246.670044,1066.459961
1230.579956,1239.060059,1095.51001
1228.22998,1276.310059,1072.869995
1205.099976,1285.900024,1096.97998
1227.530029,1269.75,1095.540039
1233.150024,1252.550049,1044.75
1205.709961,1233.310059,1040.73999
1240.699951,1248.97998,1054.209961
1224.829956,1250.310059,1090.199951
1225.069946,1244.819946,1066.26001
1259.51001,1265.97998,1041.109985
1218.050049,1242.160034,1054.01001
1233.52002,1270.650024,1094.51001
1223.780029,1156.089966,1054.859985
1229.060059,1142.699951,1049.589966
1227.089966,1138.23999,1081.180054
1222.339966,1132.810059,1107.089966
1227.75,1146.589966,1061.140015
1211.219971,1187.459961,1089.180054
1221.060059,1195.530029,1049.589966
1255.890015,1162.73999,1052.310059
1231.76001,1190.910034,1081.329956
1239.97998,1173.969971,1073.939941
1247.609985,1166.170044,1097.420044
1244.77002,1164.48999,1058.390015
1255.390015,1157.949951,1064.430054
1238.060059,1141.209961,1072.689941
1245.449951,1157.51001,1095.630005
1229.170044,1138.550049,1065
1245.579956,1164.069946,1093.420044
1227.48999,1138.27002,1051.180054
1243.939941,1145.089966,1056.48999
1226.050049,1155.459961,1066.150024
1225.390015,1139.939941,1061.030029
1232.829956,1159.780029,1016.599976
1250.939941,1149.349976,1061.27002
1229.709961,1128.530029,1060.199951
1234.27002,1153.349976,1054.709961
1238.119995,1153.540039,1058
1216.23999,1178.329956,1087.22998
1230.670044,1144.780029,1050.27002
1225.439941,1144.359985,1049.219971
1234.109985,1149.859985,1056.300049
1229.189941,1144.76001,1122.02002
1234.47998,1142.119995,1078.300049
1227.48999,1136.390015,1091.680054
1238.540039,1157.099976,1090.73999
1227.01001,1137.5,1106.130005
1226.050049,1165.439941,1114
1229.319946,1159.839966,1090.390015
1237.98999,1146.920044,1050.609985
1234.640015,1151.170044,1096.650024
1217,1142.969971,1083.030029
1218.900024,1151.469971,1115.719971
1245.140015,1197.75,1078.27002
1226.459961,1203.109985,1106.52002
1237.22998,1198.579956,1118.27002
1239.819946,1204.589966,1106.52002
1202.550049,1177.040039,1118.27002
1202.400024,1166.819946,1098.52002
1222.949951,1177.5,1122.02002
1228.900024,1122.959961,1102.27002
1222.780029,1224.5,1098.52002
1238.709961,1155.150024,1138.52002
1241.23999,1220.77002,1110.27002
1241.569946,1131.959961,1126.27002
1234.130005,1103.540039,1106.52002
1235.810059,1171.5,1094.27002
1253.119995,1121.219971,1122.52002
1250.680054,1100.420044,1114.52002
1237.880005,1242.939941,1106.52002
1239.5,1135.119995,1118.780029
1234.829956,1152.540039,1110.27002
1236.25,1096.670044,1102.27002
1231.780029,1121.109985,1114.52002
1224.02002,1171.680054,1114.52002
1233.680054,1134.300049,1106.52002
1232.969971,1111.670044,1114.52002
1247.150024,1092.569946,1130.52002
1228.25,1201.910034,1134.27002
1234.329956,1190.540039,1102.27002
1252.689941,1184.97998,1110.27002
1239.390015,1133.339966,1102.27002
1242.719971,1152.430054,1122.52002
1238.579956,1083.160034,1102.27002
1237.670044,1166.859985,1082.52002
1225.420044,1172.920044,1094.27002
